player_age,woba,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,woba_percent
40,0.283,87.3,13.4,29.4,4.6,28.3
37,0.286,88.7,13.5,31.9,5.4,28.6
34,0.349,90.6,6.2,35.7,4.5,34.9
34,0.313,91.1,12.4,41.7,10.5,31.3
36,0.316,84.6,8.2,31.1,2.4,31.6
34,0.312,84.3,15.8,32.8,2.6,31.2
34,0.339,88.7,7.9,36.1,8.6,33.9
34,0.316,87.9,14.5,35.2,5.9,31.6
34,0.334,90.3,7.5,33.9,6.3,33.4
34,0.373,89.2,16.8,36.4,10.3,37.3
36,0.295,88.3,17,29.7,6.6,29.5
31,0.334,86.9,11.9,33.6,6.4,33.4
36,0.33,87.7,20.2,33.1,10.9,33
33,0.318,88.5,12.6,35.3,9.5,31.8
34,0.32,91.1,9.5,31.1,10,32
35,0.313,86.3,19.5,37.2,4.9,31.3
36,0.385,93.2,12.4,34.5,14.2,38.5
31,0.295,89.7,12.7,26.5,7.1,29.5
29,0.342,88,4.2,27,4.1,34.2
30,0.269,84,14,34.1,2.2,26.9
31,0.312,86.7,12.7,32.4,5.2,31.2
31,0.392,85.8,14.8,35.7,4.4,39.2
33,0.357,87.2,11.8,36.5,8.3,35.7
31,0.312,90.1,15,40.4,12.8,31.2
33,0.329,87.2,11.7,36.9,4.6,32.9
34,0.303,89,4.2,25.3,5.8,30.3
33,0.325,85.3,11,34.2,3.3,32.5
31,0.338,87.2,12,37.6,4.7,33.8
30,0.415,87.3,13.4,38.1,8.7,41.5
31,0.335,87.5,20.3,33.1,9.6,33.5
33,0.321,88.3,8.8,34,3.3,32.1
31,0.347,89.1,10.2,32.1,3.5,34.7
30,0.36,88.4,14.2,33.7,7.7,36
29,0.378,88.8,15.7,36,13.2,37.8
32,0.4,89.4,18.5,37.7,8.6,40
30,0.366,88.7,11.6,36.5,3.5,36.6
30,0.35,88.4,18.4,39.4,10.5,35
33,0.428,87.5,14.1,40.5,9.1,42.8
33,0.336,86.4,10.3,34.4,3.8,33.6
32,0.343,88.2,14.9,38.3,8.8,34.3
33,0.269,86.3,13.8,34.6,4.5,26.9
28,0.344,86.5,7.6,32.5,4.2,34.4
32,0.319,88.3,8.9,33.6,3.8,31.9
31,0.35,88.6,13,28.4,7.5,35
31,0.327,87.5,6.2,28.9,5.9,32.7
30,0.308,85.8,9.1,35.3,3.1,30.8
30,0.366,89.2,19.4,35.7,9.9,36.6
30,0.371,89.6,17.1,39.4,13.6,37.1
32,0.387,91.4,8.3,32.3,12.2,38.7
33,0.347,88.9,18.6,43.2,6,34.7
29,0.363,88.6,17.6,39.6,12.8,36.3
33,0.344,89.9,10.4,29.2,3.4,34.4
29,0.311,85.4,14.7,31.8,3.9,31.1
34,0.326,88.9,3.1,31.2,6.4,32.6
29,0.361,92.2,14.2,37.6,17.7,36.1
29,0.398,89.6,6.9,34.3,9.3,39.8
30,0.357,87.7,17.8,38.3,3.8,35.7
32,0.385,89.6,17.3,39.6,4.8,38.5
29,0.4,91.5,11.6,32.8,13.3,40
28,0.381,88.7,11.7,29.4,6.6,38.1
27,0.405,86.1,9.7,34.8,6.7,40.5
27,0.346,85.7,4.5,33.3,2.9,34.6
27,0.334,87.6,6.7,32.8,3.2,33.4
27,0.407,89.7,16,40.1,13.3,40.7
28,0.342,89.3,3.3,31.7,1.9,34.2
31,0.326,89.3,11.6,34.9,12,32.6
28,0.345,87.4,18.2,34,8.6,34.5
27,0.38,88.4,15.5,34.2,9.3,38
28,0.348,88.8,11.7,33.4,11.5,34.8
27,0.41,91.9,11.1,31.6,17.4,41
30,0.37,88.2,12.8,36.3,11.1,37
27,0.298,86.3,15.2,32.8,2.4,29.8
26,0.375,90.3,7.6,31.4,8.8,37.5
26,0.328,82.8,10.2,34.3,0.5,32.8
26,0.388,90.8,10.1,31,9.3,38.8
27,0.334,88.4,8.5,34.8,9.5,33.4
30,0.301,87.5,11.3,34.8,5.8,30.1
29,0.332,84.9,16.5,38.4,2.7,33.2
27,0.376,89.8,3.9,30.3,7,37.6
27,0.394,89.8,18.3,34.7,6.5,39.4
27,0.361,88.6,14.9,34.7,7.4,36.1
27,0.376,89.2,9.3,31.1,9.3,37.6
29,0.312,81.6,2.2,27.7,0.2,31.2
27,0.335,84.5,17.7,35.5,3.6,33.5
25,0.437,88.8,18,36.4,13.3,43.7
25,0.329,87.2,9.7,35.1,6.2,32.9
30,0.377,90.6,11.1,34.2,9.5,37.7
25,0.356,86.2,14.8,39,6.9,35.6
24,0.372,89.2,10.5,40.6,9.4,37.2
25,0.313,84.8,10.4,32.6,3.4,31.3
25,0.355,87.8,13,35.3,7,35.5
26,0.395,88.8,17.6,37.5,8.5,39.5
26,0.278,80.5,10.2,32.5,0.4,27.8
25,0.305,89.2,14,30.9,7.3,30.5
26,0.353,88.3,12.2,34.4,9.3,35.3
26,0.335,89.4,15.4,35.3,9.1,33.5
29,0.326,88.3,21,35.2,8.6,32.6
31,0.361,89.7,22.6,37.7,8.2,36.1
28,0.341,87.2,13.9,35.6,7.5,34.1
30,0.362,87.9,16.7,32,8.4,36.2
25,0.399,87,17,35.1,9.6,39.9
25,0.341,89.1,14.2,42.8,10.7,34.1
25,0.315,86.3,10.9,33.2,4.1,31.5
25,0.32,88.3,12.8,35.6,7.6,32
25,0.43,94.9,15.8,38.2,25.7,43
24,0.328,91.3,13.6,30.3,10.5,32.8
